Title,Location,DayOfWeek,TimeStart,TimeEnd,WeekOfMonth,Description,Recurring,Category,URL
The Gym,The Park Centre,Mon,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Tue,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Wed,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Thu,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Fri,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Postnatal Pilates,The Park Centre,Mon,10:00:00,10:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Over 55s Dance Fit,The Park Centre,Mon,10:00:00,11:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Over 55s Dance Variety,The Park Centre,Mon,11:00:00,12:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Staying Steady,The Park Centre,Mon,,,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Badminton,The Park Centre,Mon,15:00:00,16:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Yoga (beginners),The Park Centre,Mon,18:00:00,19:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Revive Aerobics,The Park Centre,Mon,18:00:00,19:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Mon,19:00:00,19:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin,The Park Centre,Mon,18:45:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Puppy & Dog Training,The Park Centre,Mon,19:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bristol Benchwarmers Basketball,The Park Centre,Mon,19:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Stained Glass,The Park Centre,Tue,13:30:00,15:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Wicketz,The Park Centre,Tue,16:30:00,18:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Kasper Minnie’s Dance,The Park Centre,Tue,17:30:00,18:30:00,,term time only,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bristol Benchwarmers Basketball,The Park Centre,Tue,18:00:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spinning,The Park Centre,Tue,18:30:00,19:15:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Imperial SW Karate,The Park Centre,Tue,19:00:00,20:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Tue,19:30:00,20:20:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin & Circuits,The Park Centre,Tue,19:30:00,21:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spartan Basketball,The Park Centre,Tue,19:30:00,20:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
AA Meeting,The Park Centre,Tue,20:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
