Title,Location,TimeStart,TimeEnd,Description,Category,URL,Date
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Stained Glass,The Park Centre,13:30:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Wicketz,The Park Centre,16:30:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Kasper Minnie’s Dance,The Park Centre,17:30:00,18:30:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Bristol Benchwarmers Basketball,The Park Centre,18:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Spinning,The Park Centre,18:30:00,19:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Imperial SW Karate,The Park Centre,19:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Pilates,The Park Centre,19:30:00,20:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Spin & Circuits,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Spartan Basketball,The Park Centre,19:30:00,20:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
AA Meeting,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Ladies only HIIT,The Park Centre,20:30:00,21:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-05-2020
Community Allotment Knowle West,"Knowle West Health Association, Andover Road",10:00:00,13:30:00,"Orchard, wildlife and kid’s picnic",Outdoors,https://kwha1.wordpress.com/current-courses-and-activties/,12-05-2020
Friendship Cooking Classes (50yo +),"Knowle West Health Association, 49b Filwood Broadway",12:30:00,14:30:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,12-05-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,12-05-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-05-2020
Pilates,The Park Centre,09:45:00,10:35:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-05-2020
Retired Gentlemens Woodworking Group,The Park Centre,10:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-05-2020
Walking Hockey,The Park Centre,12:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-05-2020
A Ride in the Park,The Park Centre,16:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-05-2020
